epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.20389,0.9458,2.76646,1.20561,0.004,1,0.26377,0.19608,0.5632,2.71307,0.90911,0,0,0
2,5.78538,0.85882,2.62,1.06091,0.004,1,0.29688,0.23902,0.56975,2.69802,0.90992,1.9802e-05,1.9802e-05,1.9802e-05
3,8.45366,0.82144,2.6671,1.09173,0.004,1,0.36989,0.28733,0.53121,2.69757,0.88112,3.9208e-05,3.9208e-05,3.9208e-05
4,11.1522,0.67844,2.41917,1.06558,0.004,1,0.43999,0.31046,0.49121,2.68657,0.86226,5.8218e-05,5.8218e-05,5.8218e-05
5,13.9031,0.6976,2.50188,0.9602,0.004,1,0.54113,0.36541,0.45283,2.67255,0.848,7.6832e-05,7.6832e-05,7.6832e-05
6,16.6792,0.72216,2.3647,1.07716,0.004,1,0.66573,0.47458,0.42262,2.64799,0.82995,9.505e-05,9.505e-05,9.505e-05
7,19.477,0.63603,2.1402,1.01962,0.004,1,0.76141,0.63287,0.38769,2.62016,0.80686,0.000112872,0.000112872,0.000112872
8,22.2716,0.63507,2.09879,0.9284,0.004,1,0.82043,0.74626,0.3632,2.58713,0.791,0.000130298,0.000130298,0.000130298
9,25.0112,0.5344,1.9346,0.9443,0.004,1,0.9298,0.83425,0.35322,2.5333,0.78313,0.000147328,0.000147328,0.000147328
10,27.6317,0.41418,1.37899,0.88443,0.004,1,0.96346,0.89161,0.33182,2.45031,0.78003,0.000163962,0.000163962,0.000163962
11,30.3189,0.59243,1.32389,0.99556,0.004,1,0.96962,0.89232,0.35924,2.32736,0.79007,0.0001802,0.0001802,0.0001802
12,33.0104,0.51299,1.30926,0.91548,0.91237,0.86937,0.97577,0.89582,0.37948,2.15868,0.80582,0.000196042,0.000196042,0.000196042
13,35.7299,0.46763,1.0817,0.89248,0.9126,0.87188,0.9769,0.88948,0.39963,1.98634,0.81737,0.000211488,0.000211488,0.000211488
14,38.463,0.46641,1.01391,0.90998,0.91863,0.94223,0.96962,0.90856,0.39911,1.84381,0.82652,0.000226538,0.000226538,0.000226538
15,41.2374,0.42876,0.90369,0.86584,0.92024,0.96309,0.95654,0.88318,0.38339,1.76297,0.82002,0.000241192,0.000241192,0.000241192
16,43.985,0.39645,0.7906,0.84608,0.92141,0.97829,0.98269,0.90672,0.38157,1.71495,0.8107,0.00025545,0.00025545,0.00025545
17,46.7079,0.5045,0.88206,0.91662,1,0.98475,0.995,0.91098,0.39572,1.65822,0.80427,0.000269312,0.000269312,0.000269312
18,49.5236,0.47038,0.91558,0.90669,1,0.98475,0.995,0.91098,0.39572,1.65822,0.80427,0.000282778,0.000282778,0.000282778
19,52.2276,0.48023,0.88848,0.91837,0.99162,1,0.995,0.94529,0.36269,1.7638,0.79742,0.000295848,0.000295848,0.000295848
20,54.9516,0.49662,1.02475,0.85792,0.99162,1,0.995,0.94529,0.36269,1.7638,0.79742,0.000308522,0.000308522,0.000308522
21,57.6893,0.44312,0.81486,0.87299,1,0.85994,0.995,0.91719,0.41711,1.99162,0.82836,0.0003208,0.0003208,0.0003208
22,60.4382,0.42723,1.06512,0.92491,1,0.85994,0.995,0.91719,0.41711,1.99162,0.82836,0.000332682,0.000332682,0.000332682
23,63.2638,0.47899,0.77221,0.92347,1,0.57068,0.98885,0.89206,0.475,2.2044,0.86866,0.000344168,0.000344168,0.000344168
24,66.1028,0.41722,0.87758,0.85203,1,0.57068,0.98885,0.89206,0.475,2.2044,0.86866,0.000355258,0.000355258,0.000355258
25,68.8796,0.50535,1.19381,0.98103,1,0.57834,0.98885,0.88691,0.45942,2.20117,0.86512,0.000365952,0.000365952,0.000365952
26,71.4834,0.49598,0.98572,0.94218,1,0.57834,0.98885,0.88691,0.45942,2.20117,0.86512,0.00037625,0.00037625,0.00037625
27,74.2204,0.53219,1.04654,0.92385,1,0.48415,0.9694,0.80452,0.50887,2.28876,0.8881,0.000386152,0.000386152,0.000386152
28,76.8851,0.65015,1.18509,0.98817,1,0.48415,0.9694,0.80452,0.50887,2.28876,0.8881,0.000395658,0.000395658,0.000395658
29,79.6565,0.55676,0.98573,0.89879,1,0.56595,0.98269,0.85985,0.43668,2.1672,0.84928,0.000404768,0.000404768,0.000404768
30,82.3151,0.53835,0.93933,0.96148,1,0.56595,0.98269,0.85985,0.43668,2.1672,0.84928,0.000413482,0.000413482,0.000413482
31,84.8211,0.47541,1.04318,0.83801,1,0.80051,0.98885,0.86866,0.40576,1.96658,0.82057,0.0004218,0.0004218,0.0004218
32,87.4544,0.4646,0.93478,0.89572,1,0.80051,0.98885,0.86866,0.40576,1.96658,0.82057,0.000429722,0.000429722,0.000429722
33,90.2646,0.39834,0.89424,0.83953,1,0.96669,0.995,0.91582,0.37494,1.61129,0.79781,0.000437248,0.000437248,0.000437248
34,92.914,0.52546,0.818,0.95367,1,0.96669,0.995,0.91582,0.37494,1.61129,0.79781,0.000444378,0.000444378,0.000444378
35,95.6807,0.52542,0.78437,0.91739,1,0.98302,0.995,0.90982,0.33823,1.42044,0.77164,0.000451112,0.000451112,0.000451112
36,98.4387,0.47649,0.87934,0.90408,1,0.98302,0.995,0.90982,0.33823,1.42044,0.77164,0.00045745,0.00045745,0.00045745
37,101.209,0.44379,0.87254,0.86168,1,0.99042,0.995,0.93587,0.36192,1.30889,0.80562,0.000463392,0.000463392,0.000463392
38,103.945,0.54782,0.8722,0.9976,1,0.99042,0.995,0.93587,0.36192,1.30889,0.80562,0.000468938,0.000468938,0.000468938
39,106.521,0.58716,0.8967,0.9283,0.98697,1,0.995,0.90644,0.39602,1.2022,0.81113,0.000474088,0.000474088,0.000474088
40,108.868,0.48776,1.02242,0.93842,0.98697,1,0.995,0.90644,0.39602,1.2022,0.81113,0.000478842,0.000478842,0.000478842
41,111.629,0.57429,0.88,0.91494,0.9899,1,0.995,0.91258,0.38482,1.17486,0.80278,0.0004832,0.0004832,0.0004832
42,114.362,0.43106,0.76847,0.92928,0.9899,1,0.995,0.91258,0.38482,1.17486,0.80278,0.000487162,0.000487162,0.000487162
43,117.183,0.48818,0.8711,0.88625,0.98522,1,0.995,0.94253,0.34749,1.27912,0.79423,0.000490728,0.000490728,0.000490728
44,119.838,0.48352,0.8747,0.91759,0.98522,1,0.995,0.94253,0.34749,1.27912,0.79423,0.000493898,0.000493898,0.000493898
45,122.544,0.40397,0.77756,0.87584,0.98001,1,0.995,0.98635,0.34139,1.40898,0.79692,0.000496672,0.000496672,0.000496672
46,125.171,0.44566,0.75144,0.88875,0.98001,1,0.995,0.98635,0.34139,1.40898,0.79692,0.00049905,0.00049905,0.00049905
47,127.855,0.52002,0.85814,0.93126,0.97583,1,0.995,0.92641,0.3795,1.45717,0.81437,0.000501032,0.000501032,0.000501032
48,130.55,0.4773,0.87238,0.90704,0.97583,1,0.995,0.92641,0.3795,1.45717,0.81437,0.000502618,0.000502618,0.000502618
49,133.239,0.49751,0.81146,0.9158,0.98729,1,0.995,0.92641,0.42525,1.4232,0.83057,0.000503808,0.000503808,0.000503808
50,135.949,0.47216,0.72916,0.87488,0.98729,1,0.995,0.92641,0.42525,1.4232,0.83057,0.000504602,0.000504602,0.000504602
51,138.778,0.50423,0.89504,0.9771,0.99347,1,0.995,0.92348,0.4578,1.40611,0.83161,0.000505,0.000505,0.000505
52,141.648,0.50791,0.79862,0.87917,0.99347,1,0.995,0.92348,0.4578,1.40611,0.83161,0.000505002,0.000505002,0.000505002
53,144.971,0.41142,0.76912,0.88506,0.99347,1,0.995,0.92348,0.4578,1.40611,0.83161,0.000504608,0.000504608,0.000504608
54,148.787,0.49551,0.77738,0.88846,1,0.9987,0.995,0.94505,0.39597,1.34745,0.81199,0.000503818,0.000503818,0.000503818
55,152.525,0.48181,0.77316,0.92518,1,0.9987,0.995,0.94505,0.39597,1.34745,0.81199,0.000502632,0.000502632,0.000502632
56,156.195,0.43416,0.74149,0.93184,1,0.9987,0.995,0.94505,0.39597,1.34745,0.81199,0.00050105,0.00050105,0.00050105
57,160.015,0.41505,0.74215,0.84186,0.98593,1,0.995,0.93675,0.36116,1.30752,0.78826,0.000499072,0.000499072,0.000499072
58,163.817,0.49066,0.72216,0.92835,0.98593,1,0.995,0.93675,0.36116,1.30752,0.78826,0.000496698,0.000496698,0.000496698
59,167.675,0.40428,0.77632,0.85017,0.98593,1,0.995,0.93675,0.36116,1.30752,0.78826,0.000493928,0.000493928,0.000493928
60,171.305,0.56419,0.89044,0.92683,0.9936,1,0.995,0.9209,0.35562,1.26404,0.78377,0.000490762,0.000490762,0.000490762
61,174.766,0.53522,0.82034,0.94677,0.9936,1,0.995,0.9209,0.35562,1.26404,0.78377,0.0004872,0.0004872,0.0004872
62,177.916,0.59958,0.81973,0.95798,0.9936,1,0.995,0.9209,0.35562,1.26404,0.78377,0.000483242,0.000483242,0.000483242
63,180.682,0.561,0.76183,0.91139,0.98869,1,0.995,0.96021,0.33463,1.2644,0.76892,0.000478888,0.000478888,0.000478888
64,183.421,0.58345,0.82884,0.99876,0.98869,1,0.995,0.96021,0.33463,1.2644,0.76892,0.000474138,0.000474138,0.000474138
65,186.074,0.47068,0.86903,0.90542,0.98869,1,0.995,0.96021,0.33463,1.2644,0.76892,0.000468992,0.000468992,0.000468992
66,188.862,0.41228,0.74463,0.92389,0.98371,1,0.995,0.94538,0.32,1.26403,0.75045,0.00046345,0.00046345,0.00046345
67,191.494,0.36115,0.62098,0.90822,0.98371,1,0.995,0.94538,0.32,1.26403,0.75045,0.000457512,0.000457512,0.000457512
68,194.015,0.51923,0.80029,0.95137,0.98371,1,0.995,0.94538,0.32,1.26403,0.75045,0.000451178,0.000451178,0.000451178
69,196.83,0.41999,0.6231,0.85623,0.98789,1,0.995,0.95509,0.30429,1.22104,0.74246,0.000444448,0.000444448,0.000444448
70,199.554,0.407,0.71957,0.89138,0.98789,1,0.995,0.95509,0.30429,1.22104,0.74246,0.000437322,0.000437322,0.000437322
71,202.24,0.39685,0.67197,0.86986,0.98789,1,0.995,0.95509,0.30429,1.22104,0.74246,0.0004298,0.0004298,0.0004298
72,205.037,0.41432,0.71392,0.88638,0.98103,1,0.995,0.97821,0.27842,1.16586,0.73508,0.000421882,0.000421882,0.000421882
73,207.816,0.48172,0.86304,0.9148,0.98103,1,0.995,0.97821,0.27842,1.16586,0.73508,0.000413568,0.000413568,0.000413568
74,210.556,0.37173,0.76991,0.9267,0.98103,1,0.995,0.97821,0.27842,1.16586,0.73508,0.000404858,0.000404858,0.000404858
75,213.35,0.45595,0.70591,0.90855,0.98213,1,0.995,0.995,0.24812,1.1369,0.72956,0.000395752,0.000395752,0.000395752
76,215.894,0.34783,0.68885,0.86757,0.98213,1,0.995,0.995,0.24812,1.1369,0.72956,0.00038625,0.00038625,0.00038625
77,218.478,0.41203,0.6722,0.85409,0.98213,1,0.995,0.995,0.24812,1.1369,0.72956,0.000376352,0.000376352,0.000376352
78,221.064,0.43396,0.71023,0.91649,0.99164,1,0.995,0.98143,0.25621,1.09864,0.72925,0.000366058,0.000366058,0.000366058
79,223.697,0.4095,0.67126,0.89053,0.99164,1,0.995,0.98143,0.25621,1.09864,0.72925,0.000355368,0.000355368,0.000355368
80,226.428,0.45725,0.77589,0.94272,0.99164,1,0.995,0.98143,0.25621,1.09864,0.72925,0.000344282,0.000344282,0.000344282
81,229.233,0.4711,0.72827,0.90997,0.99395,1,0.995,0.95513,0.27713,1.09221,0.73142,0.0003328,0.0003328,0.0003328
82,231.968,0.37131,0.65135,0.88312,0.99395,1,0.995,0.95513,0.27713,1.09221,0.73142,0.000320922,0.000320922,0.000320922
83,234.716,0.39766,0.62682,0.86691,0.99395,1,0.995,0.95513,0.27713,1.09221,0.73142,0.000308648,0.000308648,0.000308648
84,237.55,0.54652,0.75507,0.9303,0.99068,1,0.995,0.96804,0.26929,1.08011,0.72978,0.000295978,0.000295978,0.000295978
85,240.298,0.44257,0.73189,0.92723,0.99068,1,0.995,0.96804,0.26929,1.08011,0.72978,0.000282912,0.000282912,0.000282912
86,243.023,0.41344,0.65143,0.85532,0.99068,1,0.995,0.96804,0.26929,1.08011,0.72978,0.00026945,0.00026945,0.00026945
87,245.759,0.41523,0.76125,0.86699,0.99068,1,0.995,0.96804,0.26929,1.08011,0.72978,0.000255592,0.000255592,0.000255592
88,248.577,0.44067,0.69052,0.9474,0.99131,1,0.995,0.98635,0.24103,1.04335,0.72756,0.000241338,0.000241338,0.000241338
89,251.326,0.3664,0.64422,0.90538,0.99131,1,0.995,0.98635,0.24103,1.04335,0.72756,0.000226688,0.000226688,0.000226688
90,254.137,0.3516,0.61038,0.91004,0.99131,1,0.995,0.98635,0.24103,1.04335,0.72756,0.000211642,0.000211642,0.000211642
